Timestamp_UTC,House Name,Town,Player Nick,Gold Amount
2026-09-25 17:40:41,Trader's Point 1,Liberty Bay,Drukkar Tun,30000008
2026-09-25 06:55:32,The Tavern 2a,Liberty Bay,Kuzimura,290000000
2026-09-25 01:03:34,The Tavern 2a,Liberty Bay,Kuzimura,255000000
2026-09-24 22:53:04,Trader's Point 1,Liberty Bay,Tynusiiaa,30000001
2026-09-24 12:55:42,The Tavern 2a,Liberty Bay,Kuzimura,245000000
2026-09-24 10:51:16,"Darashia 5, Flat 05",Darashia,Comrade Wraith,10000000
2026-09-24 10:51:16,"Magic Academy, Flat 4",Edron,Fidde Thainheart,50000000
2026-09-24 10:51:16,The Farms 5,Kazordoon,The First Monk,20000000
2026-09-24 10:51:16,The Tavern 2a,Liberty Bay,Kuzimura,212000000
2026-09-24 10:51:16,Esuph II b,Ankrahmun,Mythrion,10000000
2026-09-23 21:55:25,Esuph II b,Ankrahmun,Mythrion,7000000
2026-09-23 21:55:25,"Darashia 5, Flat 05",Darashia,Comrade Wraith,8000000
2026-09-23 21:55:25,The Tavern 2a,Liberty Bay,Kuzimura,210000000
2026-09-23 18:06:47,The Tavern 2a,Liberty Bay,Kuzimura,201000000
2026-09-23 13:11:02,Esuph II b,Ankrahmun,Mythrion,5000001
2026-09-23 07:59:04,"Magic Academy, Flat 4",Edron,Fidde Thainheart,30000001
2026-09-23 07:04:45,The Tavern 2a,Liberty Bay,Reborn,40000102
2026-09-22 22:35:15,Trader's Point 1,Liberty Bay,Witekson,20000005
2026-09-22 22:35:15,The Tavern 2a,Liberty Bay,Kuzimura,30000000
2026-09-22 19:26:42,The Farms 5,Kazordoon,The First Monk,17500000
2026-09-22 19:26:42,"Darashia 5, Flat 05",Darashia,Comrade Wraith,5000005
2026-09-22 15:18:29,"Darashia 5, Flat 05",Darashia,Comrade Wraith,5000004
2026-09-22 15:18:29,The Farms 5,Kazordoon,Eatersouls,2
2026-09-22 08:05:49,Uthemath I c,Ankrahmun,Larasz,54008028
2026-09-22 01:04:25,"Darashia 5, Flat 05",Darashia,Sio Edas,5000001
2026-09-22 00:07:35,Uthemath I c,Ankrahmun,Karyptos,50000001
2026-09-22 00:07:35,Trader's Point 1,Liberty Bay,Tynusiiaa,20000002
2026-09-21 23:05:30,Trader's Point 1,Liberty Bay,Comrade Wraith,10000002
2026-09-21 13:04:39,Uthemath I c,Ankrahmun,Krystal Mev,41008024
2026-09-21 12:06:50,Esuph II b,Ankrahmun,Mythrion,1500001
2026-09-21 12:06:50,Uthemath I c,Ankrahmun,Krystal Mev,40000023
2026-09-21 07:59:49,Trader's Point 1,Liberty Bay,Comrade Wraith,400002
2026-09-20 19:04:42,Trader's Point 1,Liberty Bay,Comrade Wraith,300001
2026-09-20 18:06:05,"Darashia 5, Flat 05",Darashia,Maripo Headsmasher,1000001
2026-09-20 18:06:05,The Tavern 2a,Liberty Bay,Kuzimura,25000002
2026-09-20 14:05:24,Esuph II b,Ankrahmun,Diler Michal,1000001
2026-09-19 23:04:59,The Tavern 2a,Liberty Bay,Comrade Wraith,20000101
2026-09-19 23:04:59,"Magic Academy, Flat 4",Edron,Fidde Thainheart,20500000
2026-09-19 22:04:50,The Tavern 2a,Liberty Bay,Comrade Wraith,10000001
2026-09-19 15:04:47,"Magic Academy, Flat 4",Edron,Fidde Thainheart,10500000
2026-09-19 15:04:47,The Tavern 2a,Liberty Bay,Max asse,10000001
2026-09-19 13:04:55,Uthemath I c,Ankrahmun,Krystal Mev,30000023
2026-09-18 10:05:52,The Tavern 2a,Liberty Bay,Drukkar Tun,2000000
2026-09-17 22:05:19,"Magic Academy, Flat 4",Edron,Fidde Thainheart,10000011
2026-09-17 20:05:51,The Tavern 2a,Liberty Bay,Drukkar Tun,700000
2026-09-17 17:04:38,Uthemath I c,Ankrahmun,Baxtek,30000001
2026-09-17 14:06:02,"Magic Academy, Flat 4",Edron,Gluush,100001
2026-09-17 10:05:30,Uthemath I c,Ankrahmun,Mendelbalbeko,20000002
2026-09-17 07:07:42,Uthemath I c,Ankrahmun,Baxtek,20000001
2026-09-17 06:07:15,Uthemath I c,Ankrahmun,Mendelbalbeko,18500000
2026-09-16 19:04:53,Uthemath I c,Ankrahmun,Mendelbalbeko,11500003
2026-09-16 18:06:55,Uthemath I c,Ankrahmun,Mythrion,11000001
2026-09-16 10:05:39,Uthemath I c,Ankrahmun,Mythrion,10000001
2026-09-14 14:06:14,Uthemath I c,Ankrahmun,Mendelbalbeko,500000
2026-09-13 08:01:30,Arakmehn IV,Ankrahmun,Joga Bonita,140000008
2026-09-13 02:05:38,Arakmehn IV,Ankrahmun,Karyptos,130500015
2026-09-12 22:05:15,Arakmehn IV,Ankrahmun,Joga Bonita,35000006
2026-09-12 21:05:26,Arakmehn IV,Ankrahmun,Alex Mytiessana,30000004
